match_id,tournament_name,year,stage_name,match_date,home_team_name,away_team_name,home_team_score,away_team_score,result
1,1930 FIFA Men's World Cup,1930,group stage,1930-07-13 00:00:00,France,Mexico,4,1,home team win
2,1930 FIFA Men's World Cup,1930,group stage,1930-07-13 00:00:00,United States,Belgium,3,0,home team win
3,1930 FIFA Men's World Cup,1930,group stage,1930-07-14 00:00:00,Yugoslavia,Brazil,2,1,home team win
4,1930 FIFA Men's World Cup,1930,group stage,1930-07-14 00:00:00,Romania,Peru,3,1,home team win
5,1930 FIFA Men's World Cup,1930,group stage,1930-07-15 00:00:00,Argentina,France,1,0,home team win
6,1930 FIFA Men's World Cup,1930,group stage,1930-07-16 00:00:00,Chile,Mexico,3,0,home team win
7,1930 FIFA Men's World Cup,1930,group stage,1930-07-17 00:00:00,Yugoslavia,Bolivia,4,0,home team win
8,1930 FIFA Men's World Cup,1930,group stage,1930-07-17 00:00:00,United States,Paraguay,3,0,home team win
9,1930 FIFA Men's World Cup,1930,group stage,1930-07-18 00:00:00,Uruguay,Peru,1,0,home team win
10,1930 FIFA Men's World Cup,1930,group stage,1930-07-19 00:00:00,Chile,France,1,0,home team win
11,1930 FIFA Men's World Cup,1930,group stage,1930-07-19 00:00:00,Argentina,Mexico,6,3,home team win
12,1930 FIFA Men's World Cup,1930,group stage,1930-07-20 00:00:00,Brazil,Bolivia,4,0,home team win
13,1930 FIFA Men's World Cup,1930,group stage,1930-07-20 00:00:00,Paraguay,Belgium,1,0,home team win
14,1930 FIFA Men's World Cup,1930,group stage,1930-07-21 00:00:00,Uruguay,Romania,4,0,home team win
15,1930 FIFA Men's World Cup,1930,group stage,1930-07-22 00:00:00,Argentina,Chile,3,1,home team win
16,1930 FIFA Men's World Cup,1930,semi-finals,1930-07-26 00:00:00,Argentina,United States,6,1,home team win
17,1930 FIFA Men's World Cup,1930,semi-finals,1930-07-27 00:00:00,Uruguay,Yugoslavia,6,1,home team win
18,1930 FIFA Men's World Cup,1930,final,1930-07-30 00:00:00,Uruguay,Argentina,4,2,home team win
19,1934 FIFA Men's World Cup,1934,round of 16,1934-05-27 00:00:00,Austria,France,3,2,home team win
20,1934 FIFA Men's World Cup,1934,round of 16,1934-05-27 00:00:00,Czechoslovakia,Romania,2,1,home team win
21,1934 FIFA Men's World Cup,1934,round of 16,1934-05-27 00:00:00,Germany,Belgium,5,2,home team win
22,1934 FIFA Men's World Cup,1934,round of 16,1934-05-27 00:00:00,Hungary,Egypt,4,2,home team win
23,1934 FIFA Men's World Cup,1934,round of 16,1934-05-27 00:00:00,Italy,United States,7,1,home team win
